SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ieo_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
211011447,Ferntree Gully (North),39,13872,658,77.94338532640093,5.8,0.004829873125720877,14.6,0.2817348,12.1,994,27.1,33.9,0.3317935273896506,26,211011447
211011446,Boronia,39,22118,657,77.68687606525444,5.8,0.005063748982728999,17.0,0.2715048000000003,13.6,993,28.0,36.1,0.478306598733968,27,211011446
211011256,Rowville - Central,37,15196,688,78.14113451086956,5.5,0.0007238747038694393,13.7,0.2965927000000003,11.5,1026,21.8,30.4,0.23490867893506914,4,211011256
211011260,Wantirna South,42,17800,610,77.85292847891783,6.4,0.0016292134831460674,12.3,0.3276246000000024,11.6,1047,24.9,32.3,0.19887482515942356,24,211011260
211011259,Wantirna,42,13949,633,77.74931207894487,5.8,0.0013621048103806726,13.7,0.3106825400000015,11.9,1042,28.9,34.6,0.016492038973948724,6,211011259
211011258,Rowville - South,39,10575,727,78.80961275059146,4.7,0.0003782505910165485,12.4,0.2983250000000015,9.5,1038,20.4,22.8,0.49318429393762725,10,211011258
211011255,Lysterfield,38,6602,760,79.38973934629706,4.1,0.0006058770069675856,10.3,0.3056945000000003,7.8,1046,23.3,23.7,0.6594556470919924,4,211011255
210051443,Craigieburn - South,31,16246,578,78.10379241516966,8.7,0.003323895112643112,23.8,0.2910568700000018,22.1,930,6.5,41.4,0.49236812373170186,35,210051443
211011254,Knoxfield - Scoresby,37,15073,641,77.80715670720959,6.3,0.0030518145027532673,15.0,0.2931583000000003,12.6,1022,23.3,36.2,0.7847237799160489,85,211011254
211011251,Bayswater,37,12063,640,77.37023452261865,6.2,0.0029843322556577967,17.6,0.272098,15.0,992,26.4,39.9,0.4145175371044939,41,211011251
210051445,Mickleham - Yuroke,31,3388,758,79.33333333333333,4.8,0.006198347107438017,17.8,0.26863095,13.1,993,8.6,40.5,0.020849487193199918,6,210051445
