SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ier_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
127021510,Bossley Park - Abbotsbury,39,18844,519,77.53907871074837,6.5,0.008119295266397793,23.5,0.30904943,18.8,1040,5.4,21.3,0.4206899639185798,29,127021510
127021509,Bonnyrigg Heights - Bonnyrigg,35,15997,456,,9.9,0.00862661749077952,,,,982,9.8,14.9,0.2432336708691018,10,127021509
127011597,West Hoxton - Middleton Grange,31,15190,738,78.54056139673965,5.8,0.00026333113890717575,23.7,0.25720757,15.4,1118,7.0,16.6,0.3325204292969148,3,127011597
127011596,Hoxton Park - Carnes Hill - Horningsea Park,32,11626,668,78.24317617866005,5.5,0.002322380870462756,26.6,0.2618164000000011,17.9,1088,7.2,16.8,-0.22246413183145355,11,127011596
127011595,Hinchinbrook,32,12279,616,78.4613780881893,7.5,0.002117436273312159,24.9,0.2682154,18.5,1064,7.4,17.9,-0.14944330495659525,4,127011595
127011594,Green Valley,33,12486,505,78.52273960707696,8.3,0.004404933525548615,28.6,0.28774172,21.9,1018,9.0,17.3,0.8321176361521969,3,127011594
127011593,Cecil Hills,35,7004,673,78.42513576415826,5.7,0.0018560822387207311,20.6,0.2883503400000003,15.3,1115,7.6,12.3,0.8374619591739785,1,127011593
127011506,Cobbitty - Leppington,32,17870,840,78.98120270160305,3.7,0.0024062674874090655,19.5,0.2619680000000003,12.4,1125,13.7,27.8,0.23566592892111515,83,127011506
127011505,Austral - Greendale,39,8925,564,78.36457857033989,5.2,0.004145658263305322,21.1,0.2991583600000013,17.9,1039,11.9,19.2,0.3112193706481576,4,127011505
127011504,Ashcroft - Busby - Miller,32,17341,412,76.73021029235767,14.7,0.014762701112969264,34.4,0.32802716000000187,34.0,844,8.5,25.6,-0.9054778215250858,1,127011504
126021591,Ryde,36,27117,754,76.70133802129114,5.9,0.002433897555039274,21.8,0.3099841000000019,14.2,1005,32.2,43.1,0.2465157681779064,62,126021591
126021590,Putney,41,4148,867,78.99381309019863,3.9,0.0,13.5,0.3436213700000003,9.0,1131,27.6,21.0,0.31239343584778323,4,126021590
126011495,Epping - North Epping,36,27101,736,75.67895294004427,6.9,0.002619829526585735,19.0,0.3349867500000022,13.5,1044,40.0,43.1,0.14889894676676022,71,126011495
125041589,Wentworthville - Westmead,34,15643,638,75.93555184827466,9.3,0.007415457393083168,23.5,0.2923986300000003,15.7,935,10.2,45.6,0.5122129412639773,23,125041589
125041588,Pendle Hill - Girraween,35,12851,639,76.62729805013927,7.8,0.012372578009493424,23.1,0.2837484,14.8,971,6.5,36.9,0.34401648171436033,51,125041588
125041494,Winston Hills,39,10798,807,79.02969790066564,4.1,0.00027782922763474715,12.7,0.2693547300000003,7.6,1107,22.2,23.7,0.28351199597227617,9,125041494
125041493,Toongabbie - Constitution Hill,37,21978,667,77.66495601173021,6.5,0.0030485030485030485,18.2,0.2914447000000011,12.9,1011,13.9,32.0,0.4391817959439684,19,125041493
125041492,Parramatta - Rosehill,31,29234,745,,9.1,0.012382841896421975,24.7,0.3204763200000017,14.8,870,16.5,65.2,0.07437227211340922,912,125041492
125041491,Northmead,33,20371,824,77.0625,6.9,0.0035344362083353786,22.0,0.28475443,13.1,973,13.2,50.8,0.19165886545866348,44,125041491
125041490,North Rocks,41,7855,768,77.98323640095792,4.3,0.0,15.8,0.2898763000000017,10.3,1114,31.4,26.5,0.21213216870702817,18,125041490
125041489,North Parramatta,34,22215,725,75.76659777835185,8.5,0.006572135944181859,26.7,0.2987818000000003,17.3,924,22.8,46.2,0.10682136415239603,62,125041489
125031485,Merrylands - Holroyd,32,28480,523,76.62795761358687,9.3,0.010814606741573033,31.3,0.3051793000000003,24.8,937,12.3,36.7,0.6614610478793944,157,125031485
125021478,Oatlands - Dundas Valley,37,17736,633,75.82287097262139,7.1,0.0036084799278304014,24.0,0.3271393800000003,19.0,1000,33.3,34.9,0.15616050756008296,27,125021478
125021477,Ermington - Rydalmere,37,21424,634,76.46186853910669,6.2,0.002567214339058999,22.9,0.30146587000000147,17.4,1004,29.0,33.7,0.23948991935609357,22,125021477
125021476,Carlingford,39,27381,661,76.08576114219564,6.4,0.0019721704831817686,20.7,0.3130605200000013,15.6,1055,39.2,35.0,0.236161580597891,11,125021476
125011587,Regents Park,35,5076,482,76.69572107765451,9.4,0.006304176516942475,31.4,0.3154560000000013,25.6,923,17.1,33.3,0.3313925852816244,3,125011587
125011586,Lidcombe,33,19974,519,,8.6,0.011715229798738359,27.3,0.29574215,20.1,962,27.3,44.6,0.19039062667867673,34,125011586
125011584,Auburn - South,31,8480,433,,10.4,0.01615566037735849,33.2,0.31799123,29.8,943,21.5,33.3,-0.2301753665736009,3,125011584
125011583,Auburn - North,29,11355,455,,13.5,0.04614707177454866,,,,812,15.0,60.6,0.718528890270986,100,125011583
125011582,Auburn - Central,30,17191,424,,12.9,0.03845035192833459,,,,886,17.2,49.5,0.33009507480288475,36,125011582
125011473,Homebush Bay - Silverwater,33,18750,981,75.86127167630057,5.4,0.00112,29.0,0.30450280000000146,17.0,1008,33.5,44.6,0.09655307545018718,693,125011473
124051581,St Marys - North St Marys,34,16062,604,76.69633225458468,9.9,0.007844602166604408,28.4,0.26975858,22.1,891,10.4,36.4,0.24285938945934438,16,124051581
124051580,Colyton - Oxley Park,34,11622,620,77.69212295869356,8.0,0.0074858027878162104,23.1,0.2604803000000011,16.8,964,9.3,32.6,-0.10333405078611047,6,124051580
124051469,Erskine Park,34,6451,776,79.1495057660626,4.9,0.0,14.2,0.2985800200000011,9.5,1085,12.6,21.6,0.2929718258617173,7,124051469
124041468,Yarramundi - Londonderry,36,7367,686,79.07201646090535,3.4,0.006922763675851771,18.4,0.317858070000002,14.6,1100,10.8,20.3,0.5770462878062892,6,124041468
124041467,Windsor - Bligh Park,34,15303,711,77.66996402877697,5.1,0.003071293210481605,22.5,0.2689985600000011,15.1,997,21.7,31.7,0.4999789292380808,31,124041467
124041466,Richmond - Clarendon,38,13824,661,77.956745623069,5.7,0.006293402777777778,20.3,0.2710248200000011,13.7,982,24.4,34.5,0.3695987091715777,56,124041466
124031465,Warragamba - Silverdale,36,5193,774,79.34939759036145,4.2,0.0005777007510109763,14.9,0.26662955,11.5,1109,14.1,31.2,-0.2253068747377891,10,124031465
124031464,Penrith,37,13274,621,76.4070299500832,8.4,0.009416905228265783,25.8,0.2888527500000003,19.2,897,19.9,39.1,0.12165131035648968,93,124031464
124031460,Glenmore Park - Regentville,33,21222,852,78.92852459016393,4.0,0.0010837809819998114,16.0,0.26119587,9.8,1104,15.1,25.2,0.5979931390121108,6,124031460
124031458,Castlereagh - Cranebrook,31,23696,811,78.38169039466571,4.7,0.004726536124240378,20.2,0.2677299,13.3,1063,17.4,33.5,0.11192037934200616,59,124031458
124031457,Cambridge Park,35,15629,724,78.27520388686447,5.4,0.0037110499712073707,18.2,0.25730515,12.4,1020,18.4,31.7,0.4889425899249169,66,124031457
124011450,Blaxland - Warrimoo - Lapstone,40,18946,810,79.44710336452604,3.9,0.0005278158978148422,11.4,0.2883686400000013,7.7,1087,32.9,24.3,0.17579109970111126,30,124011450
123031448,The Oaks - Oakdale,38,8979,720,79.64437450826121,4.0,0.0011137097672346587,14.3,0.2764205600000017,11.7,1106,19.4,33.3,0.5574016128965076,7,123031448
123031446,Douglas Park - Appin,35,9614,827,79.67984367954307,2.7,0.0029124193883919283,13.2,0.2672227000000003,8.4,1140,19.8,27.7,0.01433260975108183,23,123031446
123021444,Rosemeadow - Glen Alpine,34,20885,638,78.0187982544478,7.7,0.0060330380655973185,23.2,0.2952489000000003,18.2,993,11.2,27.3,0.09749120725066963,43,123021444
123021443,Minto - St Andrews,33,19860,604,77.7137676105454,7.9,0.004984894259818731,24.8,0.27303404,18.8,989,8.3,29.0,0.15180579981273631,9,123021443
123021442,Macquarie Fields - Glenfield,35,23539,594,76.84510112631706,9.5,0.005012957219932878,27.3,0.2916731,20.5,950,9.8,30.9,0.18683748785925344,14,123021442
123021441,Leumeah - Minto Heights,36,16524,660,78.0746561886051,6.6,0.0033284918905833938,21.1,0.27412343,15.3,992,12.5,32.0,0.3479845682997265,24,123021441
123021440,Ingleburn - Denham Court,34,19934,666,77.7013167013167,7.5,0.005718872278519113,23.4,0.2910268600000022,16.9,1004,12.0,31.7,0.3181134217165337,28,123021440
123021438,Claymore - Eagle Vale - Raby,33,20392,664,78.12517365934983,7.0,0.009170262848175756,23.3,0.2889110000000003,17.5,984,10.6,26.9,0.6460103455530622,6,123021438
123021437,Campbelltown - Woodbine,35,18194,614,77.58953907508244,8.0,0.006045949214026602,23.4,0.2754593,16.9,969,11.8,32.6,0.20982034536468078,176,123021437
123021436,Bradbury - Wedderburn,33,18937,593,77.42033383915023,9.1,0.005755927549242224,27.1,0.28414983,21.4,944,13.5,31.6,-0.27802645820698885,153,123021436
123011435,Mount Annan - Currans Hill,31,28575,842,78.78303718082724,4.5,0.0008398950131233596,18.4,0.24968314000000041,10.8,1094,17.3,29.2,0.1654883268819845,42,123011435
123011434,Elderslie - Harrington Park,34,21057,810,79.11406049989894,4.3,0.001044783207484447,16.5,0.2663673000000003,10.5,1122,18.3,27.1,0.1914177863176119,63,123011434
123011433,Camden - Ellis Lane,41,12957,772,79.49956483899042,3.4,0.00030871343675233467,13.3,0.2788089800000018,8.8,1082,17.7,25.6,0.6201748063584803,149,123011433
