SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ier_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
311051324,Cornubia - Carbrook,39,8454,766,79.23249120562839,5.5,0.00035486160397445,13.9,0.2930729700000024,10.0,1109,24.0,31,0.4399363636363636,11,311051324
311041322,Logan Village,39,7023,668,78.90861408109744,5.4,0.0017086715079026058,15.5,0.2607524,11.0,1094,31.9,32,-0.04623333333333333,9,311041322
311051323,Bethania - Waterford,36,10842,600,78.14137554585153,7.8,0.00387382401770891,19.0,0.25261885,16.0,969,24.5,43,0.17619,10,311051323
311041321,Jimboomba,32,25771,723,78.59602495955627,6.4,0.0020953785262504366,17.8,0.25676351999999997,14.0,1076,32.0,43,0.2901564102564102,39,311041321
311041320,Greenbank,37,12866,709,79.10517529215359,6.3,0.00077724234416291,15.0,0.27407983,11.0,1120,30.4,32,0.013059999999999999,20,311041320
311031319,Regents Park - Heritage Park,33,15950,695,78.20524172126792,7.1,0.0018808777429467085,17.5,0.24179795000000096,14.0,1037,25.7,42,0.26139411764705883,17,311031319
311051328,Waterford West,35,7233,541,77.63233326963501,10.5,0.0035946356974975806,19.4,0.2504591,19.0,930,21.0,47,0.174392,25,311051328
311031318,Munruben - Park Ridge South,40,4605,689,78.91323147881234,6.8,0.003257328990228013,11.4,0.26417235,9.0,1100,25.6,33,-0.08475,2,311031318
311031317,Marsden,28,14458,582,77.76131221719457,12.2,0.0045649467422880065,24.3,0.23524433000000136,24.0,925,20.8,52,0.1473375,8,311031317
311031316,Hillcrest,34,8172,704,78.17100499913808,7.6,0.0007342143906020558,18.1,0.28385922,14.0,1022,27.2,40,0.28166,5,311031316
311031314,Crestmead,28,11985,610,77.78939413024311,11.5,0.008594075928243638,22.1,0.2637468,21.0,948,24.3,54,0.20040000000000002,11,311031314
311031313,Chambers Flat - Logan Reserve,35,5055,682,78.54610911104957,7.4,0.0013847675568743817,17.9,0.28359273,13.0,1041,24.8,39,0.37742000000000003,5,311031313
311031312,Browns Plains,32,7386,621,77.03242835595776,9.9,0.005144868670457623,18.8,0.3279395400000003,17.0,948,23.8,48,0.1896897435897436,39,311031312
311031311,Boronia Heights - Park Ridge,38,12237,546,78.06734317343174,9.7,0.002288142518591158,20.6,0.26533502,19.0,974,24.3,39,0.47808888888888884,9,311031311
311021310,Wolffdene - Bahrs Scrub,35,6075,740,78.64376130198914,6.0,0.0006584362139917696,15.8,0.27141187000000133,12.0,1073,29.8,45,0.04094,5,311021310
311021307,Eagleby,36,13317,503,77.37941429801894,13.9,0.002628219568971991,25.1,0.28673129999999997,24.0,888,26.2,50,0.32022272727272727,22,311021307
311021306,Beenleigh,37,8248,527,76.41593680233557,12.8,0.0015761396702230843,24.5,0.30860174,24.0,883,26.8,50,0.19559830508474577,59,311021306
311021309,Mount Warren Park,37,5784,639,78.47612191024719,8.0,0.004149377593360996,18.5,0.2701984600000003,15.0,992,29.9,43,0.30779999999999996,5,311021309
310041303,Springfield,30,6772,795,78.32235397452789,6.9,0.0013290017720023627,17.2,0.2337310600000002,13.0,1042,27.3,45,0.28135438596491225,57,310041303
310041302,Redbank Plains,27,19325,645,77.97802711547452,12.7,0.0036222509702457956,23.4,0.26088122,21.0,938,19.4,57,0.20571153846153845,26,310041302
310041297,Camira - Gailes,36,9222,635,78.38402178847026,8.9,0.002277163305139883,15.6,0.25910908,14.0,998,25.0,34,0.15627500000000003,4,310041297
310041296,Bellbird Park - Brookwater,30,13749,836,78.27172503242542,7.4,0.0007273256236817223,15.1,0.2725366,11.0,1060,25.6,43,0.3629483870967742,31,310041296
310031295,Riverview,37,3063,430,77.16510903426791,15.2,0.005223636957231472,20.6,0.22875354,28.0,835,20.4,41,0.0683,4,310031295
310031294,Ripley,30,4631,859,78.94621638524077,5.0,0.0021593608291945584,14.4,0.2538819300000003,11.0,1077,30.7,38,0.26178548387096773,62,310031294
310031293,Raceview,33,15222,664,78.29557403689896,7.7,0.0013138877939823938,16.2,0.26297125,15.0,986,23.9,42,0.08172727272727272,11,310031293
311021308,Edens Landing - Holmview,31,7452,693,77.48923679060665,8.4,0.001610305958132045,22.5,0.25616863,19.0,988,27.1,48,0.03266666666666667,6,311021308
310031292,North Ipswich - Tivoli,39,6396,577,77.5560538116592,9.2,0.007817385866166354,18.2,0.26018825,17.0,930,26.6,32,0.041789999999999994,20,310031292
310031289,Karalee - Barellan Point,37,5512,808,79.1638535445339,5.3,0.0023584905660377358,12.9,0.2812445,10.0,1111,31.5,30,0.234875,4,310031289
310031287,Ipswich - East,37,17917,581,77.28750396447828,10.2,0.003181336161187699,19.2,0.26822805,18.0,918,26.6,41,0.20079375,16,310031287
310031286,Ipswich - Central,39,6536,549,77.274208566108,10.6,0.01361689106487148,17.9,0.2856048000000003,17.0,910,32.4,41,0.2093828125,128,310031286
310031285,Churchill - Yamanto,32,6763,725,78.43350383631713,7.2,0.0010350436196954014,,,,999,27.5,41,0.209375,4,310031285
310031284,Bundamba,35,8893,586,77.19184290030212,10.3,0.004160575733723153,20.4,0.2949673200000003,18.0,929,28.3,48,0.22604848484848486,33,310031284
310031283,Brassall,32,10911,635,77.79008438818565,9.1,0.0033910732288516174,18.6,0.26517847000000133,17.0,953,29.5,43,0.3303076923076923,78,310031283
310021278,Esk,52,5196,444,78.07538091419407,8.9,0.0017321016166281756,17.2,0.31394020000000133,21.0,965,27.9,27,0.350367,100,310021278
310021277,Boonah,44,11898,567,79.14586994727593,5.1,0.0032778618255168935,15.7,0.30027756000000133,16.0,1025,29.5,34,0.153434375,32,310021277
310011276,Wacol,32,5798,422,,18.4,0.005346671265953777,21.7,0.24118796,31.0,822,11.8,26,0.2719142857142857,21,310011276
310011275,Oxley (Qld),34,7824,787,78.14608824619948,6.3,0.005623721881390593,13.4,0.2862034,10.0,1028,27.9,35,-0.06062962962962963,27,310011275
310041300,Goodna,30,10901,551,77.05764878178671,14.5,0.008072653884964682,22.4,0.2644317,24.0,896,16.7,48,0.10118125,16,310041300
310041299,Collingwood Park - Redbank,31,8477,653,77.8217190240791,9.9,0.003774920372773387,19.6,0.26262733,18.0,972,23.6,46,0.19460821917808221,73,310041299
310011273,Forest Lake - Doolandella,33,27689,722,77.69308685743226,7.6,0.0017696558200007222,17.0,0.26250884,13.0,1028,23.4,38,0.2977221476510067,149,310011273
311011305,Beaudesert,42,13909,522,78.15397524648625,7.9,0.001653605579121432,21.2,0.2803025800000018,20.0,971,30.7,39,0.0,1,311011305
310041304,Springfield Lakes,29,15431,878,77.8890325146664,7.1,0.0014257015099475082,16.5,0.23481862,11.0,1038,26.6,49,0.25488189300411523,243,310041304
310031291,Leichhardt - One Mile,31,7635,531,76.51402057696187,13.6,0.004453176162409954,22.9,0.28558010000000134,25.0,884,27.1,44,0.05704444444444445,9,310031291
310031290,Karana Downs,39,6084,855,79.35714285714286,5.4,0.0004930966469428008,12.7,0.2954677600000018,10.0,1107,36.6,28,-0.032457142857142865,7,310031290
310011272,Durack,36,7940,532,77.24408047000178,10.3,0.005793450881612091,19.4,0.27959356,19.0,954,14.6,33,0.1806,2,310011272
310011271,Darra - Sumner,32,4929,582,76.90176322418137,9.1,0.009129640900791236,16.5,0.3278363300000015,15.0,960,16.9,38,0.14513833333333334,480,310011271
310031288,Ipswich - North,37,4639,741,79.2376268060252,5.2,0.004526837680534598,12.9,0.2733872800000015,11.0,1082,29.8,33,0.22228823529411765,17,310031288
310021282,Rosewood,41,11835,623,78.40608630581193,6.5,0.0023658639628221377,16.5,0.28083596000000133,16.0,1014,29.3,29,0.18284159292035396,113,310021282
310021281,Lowood,39,14023,542,78.05239058673197,8.7,0.005277044854881266,19.8,0.28001672000000133,19.0,996,28.2,38,0.10800707964601769,113,310021281
310021280,Lockyer Valley - East,40,19832,502,78.28804146612366,9.5,0.0031766841468334004,19.9,0.27383095,19.0,993,28.5,34,0.41768333333333335,24,310021280
310011274,Inala - Richlands,32,18011,416,76.98250962772785,16.9,0.008106157348287157,20.2,0.338183800000002,27.0,827,13.9,38,0.394875,20,310011274
305041137,Toowong,29,10823,765,77.28899937849596,8.5,0.007022082601866396,16.6,0.3459853800000015,14.0,961,47.4,57,0.1587467213114754,122,305041137
305041136,Red Hill (Qld),32,5730,927,77.69249572231728,6.0,0.009075043630017453,13.7,0.3456981,11.0,1012,45.3,44,0.34815282051282054,195,305041136
305041135,Paddington - Milton,32,10805,1053,78.15537600994406,5.1,0.0025913928736695973,10.6,0.32959723,7.0,1018,44.9,44,0.22980046511627908,430,305041135
305041134,Bardon,37,9727,997,79.40619362597715,4.9,0.0007196463452246325,9.7,0.3285516200000003,7.0,1101,43.6,28,0.17774285714285715,14,305041134
305041133,Auchenflower,32,5502,899,78.07663782447466,7.4,0.0007270083605961468,13.1,0.3373399700000024,9.0,998,41.0,53,0.053614814814814823,162,305041133
305041132,Ashgrove,35,13317,945,79.08720368979942,4.9,0.0030787714950814746,11.3,0.3135426300000003,8.0,1089,38.0,32,0.24239583333333334,72,305041132
305031131,Wooloowin - Lutwyche,33,9760,877,77.44341994970662,5.9,0.008811475409836065,14.2,0.31559297000000186,10.0,995,30.5,49,0.19729787234042553,47,305031131
305031129,Wilston,35,3934,994,79.00180831826401,5.0,0.0,9.8,0.3303964400000015,8.0,1075,35.0,34,0.1097623287671233,146,305031129
305031128,Newstead - Bowen Hills,33,10648,1197,77.86975579211021,4.9,0.0034748309541697974,13.5,0.3345965000000018,8.0,968,43.8,53,0.23648271446862995,781,305031128
305031127,Newmarket,31,4960,807,77.57368995633188,6.1,0.009072580645161291,14.1,0.32710633000000133,10.0,986,34.6,52,0.30690263157894737,76,305031127
305031126,Kelvin Grove - Herston,27,10071,577,,11.5,0.012411875682653162,22.7,0.33906764000000134,19.0,883,47.8,74,0.2789401826484018,219,305031126
313041376,Upper Caboolture,41,3026,664,79.05122494432071,5.6,0.0026437541308658294,15.4,0.27786273000000133,12.0,1104,27.5,32,0.1619222222222222,9,313041376
313041375,Narangba,32,18575,749,78.63272265841859,6.9,0.0015074024226110364,16.6,0.25585490000000133,12.0,1076,34.8,39,-0.1137541666666667,360,313041375
305031125,Hendra,39,4658,974,78.98980815347721,4.6,0.0006440532417346501,13.2,0.32575235,9.0,1104,28.6,34,0.2150758620689655,29,305031125
305031124,Hamilton (Qld),38,6293,1065,77.8024369016536,5.1,0.004608294930875576,14.0,0.3387867000000026,8.0,1015,36.5,48,0.1838343495934959,492,305031124
313031371,Woodford - D'Aguilar,41,7858,578,78.31752055660974,6.2,0.0016543649783659965,17.6,0.303618670000002,16.0,1033,27.1,30,0.10960937499999998,32,313031371
305031123,Grange,36,4243,1017,79.30869267624914,4.3,0.0007070469007777516,9.4,0.30437532000000134,6.0,1100,41.2,33,0.1758375,8,305031123
305031122,Clayfield,35,10480,921,77.72680145152928,5.4,0.0012404580152671756,13.5,0.3371634500000003,11.0,1005,28.1,48,0.3090263157894737,38,305031122
313021369,Wamuran,41,3942,654,79.30306230200634,5.1,0.005580923389142567,15.7,0.2859106000000015,12.0,1089,31.4,32,0.24550000000000002,7,313021369
313021368,Morayfield - East,31,8442,592,77.57966988069946,10.3,0.006159677801468846,23.0,0.24229676000000044,20.0,967,34.8,53,0.15086666666666668,3,313021368
305031120,Alderley,33,5996,945,78.12997046125881,4.7,0.004169446297531688,13.3,0.33660930000000133,10.0,1033,34.9,41,0.24770490196078435,102,305031120
305021118,Norman Park,34,6338,1107,78.67759317467446,4.7,0.0004733354370463869,11.4,0.3194382500000003,9.0,1073,40.3,39,0.22192499999999998,28,305021118
305031130,Windsor,32,7221,919,77.34842951059167,6.3,0.007893643539675945,15.2,0.31994137000000133,11.0,984,33.6,49,0.16940746268656717,67,305031130
305021117,Morningside - Seven Hills,32,12617,976,77.43042071197411,4.5,0.0014266465879369105,13.1,0.3038311600000003,9.0,1011,38.7,49,0.15655,236,305021117
305021116,Hawthorne,34,4968,1085,78.89799378355468,3.9,0.002214170692431562,10.0,0.3324012500000003,8.0,1080,35.1,39,0.33499529411764706,85,305021116
305031121,Ascot,40,5153,1019,78.34984358706987,4.9,0.0,13.0,0.3533321000000003,9.0,1036,30.5,41,0.292025,72,305031121
305021115,East Brisbane,31,5779,841,77.29635646321653,6.6,0.010555459422045336,13.7,0.3592242000000003,10.0,960,34.5,52,0.17239652777777778,144,305021115
305021114,Bulimba,37,6674,1134,78.83872368135447,4.6,0.0005993407252022775,11.3,0.3217508500000003,7.0,1075,38.7,40,0.2990085714285714,175,305021114
305021113,Balmoral,35,4209,1079,78.5190171659374,5.0,0.000950344499881207,11.6,0.310077760000002,9.0,1064,38.0,38,0.49453684210526316,19,305021113
305011112,West End,33,9616,874,77.19596016271566,6.6,0.007071547420965058,15.8,0.3395753000000018,12.0,939,44.6,48,0.1790995024875622,603,305011112
305031119,Albion,32,2785,938,77.30067243035543,5.1,0.0,14.4,0.3027702600000015,9.0,982,39.3,48,0.41953106060606066,132,305031119
305011109,New Farm,37,12753,1035,77.55521201413427,5.1,0.04014741629420528,13.1,0.34672403,10.0,957,40.2,46,0.2717048148148148,270,305011109
305011111,Spring Hill,33,6072,696,,9.5,0.08992094861660078,23.3,0.331913380000002,19.0,834,37.0,77,0.3302779220779221,154,305011111
305011108,Kangaroo Point,35,8215,943,77.5980156825092,7.8,0.006695069993913573,18.1,0.3279542300000015,15.0,934,39.4,59,0.27327317073170737,287,305011108
305011110,South Brisbane,31,7222,750,76.95911238956236,8.6,0.04444752146219884,16.4,0.4196606000000008,12.0,895,46.3,65,0.23957258200168202,1189,305011110
305011107,Highgate Hill,33,6362,709,76.73199829569663,7.9,0.011160012574662056,18.2,0.3651666000000015,15.0,931,37.8,44,0.22474473684210522,38,305011107
305011106,Fortitude Valley,31,7140,910,75.8211747100636,6.9,0.04789915966386555,20.2,0.2891753600000003,14.0,871,41.8,68,0.24913358333333335,1200,305011106
305011105,Brisbane City,32,10182,821,76.00237091675447,9.4,0.026615596150068747,,,,872,49.8,74,0.25759785427965104,12723,305011105
304041104,Upper Kedron - Ferny Grove,36,9901,854,79.4101607347876,6.1,0.000302999697000303,11.0,0.26625519999999997,8.0,1088,32.9,28,0.2639692307692308,13,304041104
304041103,The Gap,40,16469,831,79.42818814454598,6.1,0.0008500819721901755,10.7,0.31761992000000133,7.0,1095,37.9,30,0.10974411764705883,68,304041103
304041101,Mitchelton,36,8344,854,78.43400067865626,5.5,0.0008389261744966443,13.3,0.2983947000000015,10.0,1025,34.9,37,0.23783295454545453,88,304041101
304041100,Keperra,39,7071,626,77.77799302595893,7.9,0.000565690849950502,15.0,0.30782840000000267,15.0,969,31.9,35,0.16148888888888888,9,304041100
304041098,Enoggera,31,8177,928,77.40158935501756,5.3,0.0029350617585911704,13.2,0.2933190200000003,10.0,969,36.7,37,0.19407586206896552,29,304041098
304031097,Taringa,30,8448,770,77.53848431024275,8.6,0.002959280303030303,18.6,0.3553601000000015,16.0,947,39.2,56,0.26979000000000003,10,304031097
304031094,Indooroopilly,30,12137,681,77.15702299226326,9.3,0.0002471780505891077,16.8,0.3723214300000015,15.0,975,40.6,56,0.21093166666666666,240,304031094
304031093,Corinda,38,4838,794,78.57729539454385,5.9,0.0,11.1,0.3292755200000003,9.0,1039,32.3,38,0.37547647058823536,17,304031093
304031092,Chelmer - Graceville,37,7426,941,79.13279132791328,5.3,0.00040398599515216807,10.4,0.3206251600000018,7.0,1107,36.7,33,0.186046,100,304031092
304021091,Pinjarra Hills - Pullenvale,42,5406,913,80.57090239410681,5.0,0.0,9.4,0.3342856500000003,6.0,1163,33.8,21,0.27504285714285714,21,304021091
304021090,Kenmore,39,8771,817,79.28216283405843,6.5,0.0012541329380914377,11.6,0.30928174,8.0,1085,35.7,33,0.3009375,8,304021090
304021089,Fig Tree Pocket,40,4057,981,80.21008403361344,5.5,0.0,,,,1162,30.5,27,0.08863425925925926,108,304021089
304021088,Chapel Hill,40,10310,865,79.18573709419904,6.7,0.0024248302618816685,10.4,0.3388139300000024,8.0,1110,35.6,31,0.05849652650822669,1094,304021088
304021087,Brookfield - Kenmore Hills,45,6770,833,80.13204043738395,6.0,0.0032496307237813884,10.5,0.3480832000000003,8.0,1138,33.4,23,0.2569414634146342,41,304021087
