SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ieo_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
213021346,Williamstown,43,15433,882,78.90283255647185,5.1,0.0018142940452277588,11.5,0.3676300600000003,9.7,1122,34.8,33.0,0.37293768115942033,69,213021346
213021345,Seabrook,35,5118,672,77.5163043478261,8.1,0.0013677217663149667,15.2,0.2754424800000003,13.4,994,23.1,38.6,0.0,1,213021345
213021344,Newport,37,17565,953,78.20474661236,4.8,0.003928266438941076,12.5,0.32304785,8.9,1103,33.1,37.7,0.054123076923076927,26,213021344
213021341,Altona,42,12706,734,77.99129804205947,5.7,0.0026759011490634344,12.7,0.31580147000000186,10.9,1044,29.9,38.3,0.1791225,40,213021341
213011340,Taylors Lakes,41,17295,641,78.41880969875092,5.9,0.0013876843018213356,11.3,0.2904639200000003,9.6,997,9.3,16.4,0.17508333333333334,18,213011340
213011338,Sunshine West,36,18561,446,76.66260832199384,12.5,0.011745056839609936,18.0,0.3186780500000003,21.0,882,13.0,31.6,0.2542,13,213011338
213011339,Sydenham,34,11964,601,77.22137761665303,8.8,0.002340354396522902,18.4,0.27560273,16.2,960,9.6,38.2,0.21787142857142855,7,213011339
213011336,Sunshine,34,9794,495,76.04990784063519,11.2,0.010618746171125178,20.5,0.3144813200000015,21.0,940,16.2,51.2,0.16463333333333333,3,213011336
213011337,Sunshine North,35,11707,441,,12.5,0.010164858631587939,21.8,0.2902886300000003,21.6,874,14.2,30.8,0.30766666666666664,9,213011337
213011335,St Albans - South,35,17196,404,,13.5,0.011165387299371946,20.9,0.31175074,24.3,857,13.7,35.1,0.19406666666666664,6,213011335
213021343,Altona North,37,14017,537,77.349029652251,7.8,0.0041378326318042375,18.3,0.3252542000000003,18.0,966,15.6,30.6,0.05658437499999999,32,213021343
213011334,St Albans - North,34,20045,429,76.97457187337831,13.6,0.011374407582938388,22.2,0.31424803,24.4,870,11.5,38.3,0.38126666666666664,3,213011334
213011333,Kings Park (Vic.),37,13815,426,77.24662936806384,12.6,0.0073108939558450955,21.2,0.3414601700000015,23.8,850,11.9,24.8,0.0,1,213011333
213011331,Delahey,36,8303,481,77.3973880597015,11.3,0.005901481392267855,19.1,0.2781290700000003,19.8,886,10.0,21.1,0.296,1,213011331
213011330,Deer Park - Derrimut,32,26257,574,77.38583719391131,9.5,0.006893399855276688,22.0,0.28821254,19.2,927,13.3,35.4,0.05052258064516129,62,213011330
213011332,Keilor Downs,39,13162,519,77.23025474574604,8.6,0.002431241452666768,15.5,0.2983441400000003,16.4,945,11.0,20.5,0.0933,5,213011332
213011328,Ardeer - Albion,34,7834,519,,12.8,0.014679601736022466,20.2,0.31325138,20.0,925,11.8,50.9,0.09771428571428571,7,213011328
212051327,Wheelers Hill,45,19798,621,77.8070001977457,5.9,0.0007071421355692494,11.9,0.3573782400000015,11.0,1078,28.3,31.1,0.06307058823529411,17,212051327
