SA2 Code 2016,SA2 Name,median_age,population,median_weekly_personal_income,average_life_satisfaction_score,percent_unemployed,homeless_rate,housing_stress_30_40_rule,gini_coefficient,poverty_rate,ier_score,percent_nonreligious,percent_citizenship,sentiment,counts,suburb_code
403031069,Mitcham (SA),43,15860,789,79.02464065708419,5.2,0.0017023959646910467,14.0,0.28531876000000134,11.5,1059,36.7,34.2,0.3614864426669246,58,403031069
403031068,Colonel Light Gardens,39,15615,723,78.3647131618492,5.9,0.0037143772014089018,14.9,0.2758532800000003,11.8,1026,33.1,38.2,0.3773082417425821,85,403031068
403031067,Blackwood,42,12028,774,79.5579799797548,5.2,0.0014965081476554707,12.9,0.2609775700000003,10.1,1076,42.1,25.1,0.40471572470593403,47,403031067
403031066,Bellevue Heights,41,7423,539,78.5438499724214,9.1,0.00848713458170551,16.5,0.2957413,16.3,1018,36.2,47.5,0.38596352728772226,40,403031066
403031065,Belair,46,4611,763,80.03793405310768,5.5,0.0006506180871828237,9.9,0.25566804,6.5,1092,44.3,24.1,0.5613274923752792,70,403031065
403021064,Warradale,39,14963,584,77.12315445141897,7.7,0.003341575887188398,20.6,0.28774968,18.9,929,28.8,46.8,0.20794421179389352,65,403021064
403021063,Sheidow Park - Trott Park,35,10112,746,78.48989623156744,5.1,0.0,15.3,0.24101356000000004,10.6,1060,28.5,26.7,0.5026375801836876,61,403021063
403021061,Mitchell Park,38,15138,519,76.99594512984211,8.8,0.003963535473642489,22.2,0.2933138000000008,21.1,911,26.8,43.8,0.056064310624054016,60,403021061
403021060,Marino - Seaview Downs,42,9283,706,78.74730951356005,5.7,0.0006463427771194657,15.6,0.26483676000000067,10.4,1044,33.2,30.2,0.46612352258210626,30,403021060
403021059,Hallett Cove,41,12411,701,78.74777882303752,6.1,0.001692047377326565,13.7,0.25974729999999996,10.6,1052,34.6,31.6,0.4207564137100919,36,403021059
403021058,Edwardstown,36,13480,609,76.5905383360522,8.4,0.005637982195845697,20.6,0.29180655000000066,18.9,920,28.2,43.6,0.20956900800635395,39,403021058
403011057,Glenelg (SA),45,19877,774,78.36271027411031,6.1,0.00160990089047643,18.3,0.2976397,13.6,984,33.6,39.5,0.27442255785820724,1089,403011057
403011056,Brighton (SA),48,13833,717,78.9730474129451,4.8,0.001951854261548471,14.7,0.2825340600000003,11.1,1014,35.9,30.4,0.43995548247602034,226,403011056
402051055,St Agnes - Ridgehaven,43,12375,624,78.74065494366643,6.6,0.0005656565656565656,14.8,0.26425104999999993,12.6,1006,25.7,27.9,0.49801263062283974,278,402051055
402051054,Redwood Park,39,16062,702,78.94282360831657,6.1,0.00043581123147802265,13.5,0.24819356,10.9,1035,30.5,25.3,0.27564405703194567,12,402051054
402051053,Modbury Heights,40,18898,672,78.35928886438809,6.2,0.0012170600063498784,14.3,0.2536118,12.0,1016,27.2,27.8,0.03953939007893922,35,402051053
402051052,Hope Valley - Modbury,42,16403,537,77.82357790601813,8.8,0.001828933731634457,18.0,0.2653834200000003,17.2,961,21.8,34.5,0.015282079250694913,60,402051052
404011097,Woodville - Cheltenham,36,17473,548,76.9576557226143,9.1,0.0025754020488754077,22.1,0.29013564999999997,21.6,928,18.1,33.7,0.12167078259999653,103,404011097
402051051,Highbury - Dernancourt,41,10463,703,78.99760433741017,6.4,0.0,13.1,0.26563263,10.3,1055,24.1,29.4,0.2984200426785185,15,402051051
402051050,Greenwith,38,8976,736,78.46341463414635,5.6,0.0007798573975044563,15.2,0.24937762,11.0,1031,29.4,24.3,0.6029548337502482,5,402051050
402051049,Golden Grove,41,10357,702,78.80869677087354,6.0,0.00154484889446751,14.7,0.2718178300000003,11.5,1038,27.1,23.5,0.0019365243300122348,32,402051049
402041172,Pooraka - Cavan,37,7747,497,77.4786470789204,9.9,0.011875564734736027,22.2,0.28725138,22.3,936,14.0,31.3,0.24373994427229884,16,402041172
402041171,Mawson Lakes - Globe Derby Park,31,13352,746,77.27950310559007,7.9,0.0014230077890952666,23.6,0.28038046000000133,17.7,1005,28.7,46.2,0.42176281986161696,749,402041171
402041048,Salisbury North,32,17226,512,77.21510451786918,11.9,0.004992453268315337,23.7,0.2961988000000003,26.4,909,14.6,33.2,0.052867593990460336,48,402041048
402041047,Salisbury East,40,17566,562,78.25776754890678,8.9,0.0010247068199931686,18.9,0.2753138200000003,18.9,973,18.9,28.3,0.24461637412166537,44,402041047
402041046,Salisbury,37,17625,454,77.37316003758221,14.1,0.007319148936170213,26.0,0.27371866000000067,29.8,875,10.9,40.5,0.06959846241450993,28,402041046
402041044,Paralowie,33,16728,551,77.82850964737192,10.5,0.006217120994739359,22.2,0.27103974999999997,23.8,959,15.6,32.2,0.2556613408141599,16,402041044
402041041,Para Hills,37,14619,575,78.12638786084382,8.0,0.005335522265544839,18.4,0.2663627300000003,17.5,988,18.9,29.0,0.08532082456003659,11,402041041
402041040,Ingle Farm,40,14850,508,78.01322104500589,9.0,0.0022222222222222222,19.4,0.266052,19.4,959,15.0,26.7,0.2158544510382678,27,402041040
403021062,Morphettville,40,14652,618,77.318820861678,7.1,0.0018427518427518428,18.5,0.2996204800000009,16.9,948,30.1,40.9,0.16102932283519072,39,403021062
402031038,Windsor Gardens,35,20303,597,76.90898306201805,8.2,0.002462690242821258,22.3,0.2919277800000009,20.6,944,24.2,45.9,0.32869218925202015,103,402031038
402031037,Northgate - Oakden - Gilles Plains,36,24632,597,77.34792626728111,8.1,0.002720038973692757,20.4,0.2839553700000003,18.8,973,21.1,36.0,0.36762273020929476,47,402031037
402031036,Enfield - Blair Athol,34,23132,487,76.72989152984411,12.3,0.013703959882413972,23.8,0.2953361300000003,24.7,882,14.6,47.7,0.1451489192142792,70,402031036
402021035,Virginia - Waterloo Corner,44,4207,473,79.3465727098014,6.6,0.0028523888756833847,16.6,0.3064003000000008,17.0,1003,14.4,22.5,0.3679879642543971,11,402021035
402021034,Smithfield - Elizabeth North,34,12261,438,76.18632202477113,20.3,0.0031808172253486667,28.4,0.26231354,36.9,800,21.8,36.1,0.5608349725071368,86,402021034
402021033,One Tree Hill,46,2529,699,79.38880328710837,3.8,0.0,10.8,0.25804924999999995,6.7,1108,30.5,21.0,0.5592644660833289,15,402021033
402021032,Munno Para West - Angle Vale,28,12132,663,78.4195228291147,8.6,0.0021430926475436863,24.7,0.26464512999999995,23.2,982,20.5,30.3,0.049247961510392305,44,402021032
402021031,Elizabeth East,37,12941,479,77.3303316494619,12.9,0.004559153079360173,22.9,0.27778932,27.0,892,19.8,32.4,-0.031164929782309597,24,402021031
402021030,Elizabeth,38,10353,416,76.59937483719719,21.8,0.012749927557229788,29.8,0.2702875700000003,37.9,766,15.5,43.9,-0.15965824752923646,59,402021030
402041043,Parafield Gardens,35,16948,487,77.68807636304805,10.6,0.00454330894500826,21.3,0.2659683000000003,23.6,949,13.0,29.0,0.10125397295995313,85,402041043
402021029,Davoren Park,28,17627,483,76.63771293641423,16.2,0.00363079366880354,29.4,0.2573040000000003,35.1,851,18.9,34.8,0.08229039523852935,68,402021029
402021028,Craigmore - Blakeview,33,18073,629,78.1345397324941,8.9,0.003596525203342002,22.0,0.2586018,20.0,990,23.2,29.1,0.3971192611641075,6,402021028
401061022,Walkerville,44,7530,783,78.5517364840673,6.0,0.0033200531208499337,14.5,0.3091372,11.7,1026,33.1,35.1,0.2065243199575819,60,401061022
401051019,St Peters - Marden,39,12940,733,77.90595675234599,6.3,0.00401854714064915,16.9,0.30812064000000067,14.0,1007,30.7,43.9,0.15713241945773315,133,401051019
401071023,Goodwood - Millswood,39,17571,791,78.17558193309696,5.9,0.0006829434864264982,16.9,0.29594103,13.7,1012,36.6,41.8,0.29590489080071464,231,401071023
401051018,Payneham - Felixstow,41,12339,573,76.99448334394229,7.1,0.0022692276521598183,17.5,0.2983788800000015,15.9,955,28.0,45.4,0.3229440209178983,131,401051018
401041015,Paradise - Newton,41,19694,548,77.43551654287643,7.5,0.003300497613486341,17.7,0.2766601700000003,15.8,962,20.8,39.3,0.12094733840692214,169,401041015
401031013,Toorak Gardens,44,15754,802,78.51396648044692,6.4,0.00019042782785324362,14.9,0.3092393,13.0,1019,36.7,45.1,0.12611288632145629,493,401031013
401031012,Glenside - Beaumont,44,9635,823,79.18752682019739,5.7,0.0014530358069538142,12.4,0.28733405,10.4,1079,36.9,39.5,0.28421091823558164,79,401031012
